in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
9.58601,0.06071,0.44819,1.85747,0.04325,9.51109,4.98278,1.60105,10000
9.67771,0.06316,0.44588,1.8552,0.04347,9.53261,4.98765,1.59878,10000
9.76941,0.06564,0.44354,1.8529,0.04368,9.55413,4.9876,1.59675,10000
9.86111,0.06812,0.4412,1.8506,0.04389,9.57564,4.98875,1.59234,10000
9.95282,0.07069,0.43884,1.84837,0.0441,9.59716,4.98777,1.59498,10000
10.04452,0.07341,0.43643,1.84627,0.04429,9.61868,4.98871,1.59336,10000
10.13622,0.07598,0.43431,1.84414,0.04448,9.6402,4.98875,1.58605,10000
10.22793,0.07848,0.43235,1.84199,0.04466,9.66172,4.9851,1.58862,10000
10.31963,0.08098,0.43038,1.83985,0.04484,9.68324,4.98392,1.58846,10000
10.41133,0.08347,0.42842,1.83771,0.04501,9.70475,4.98147,1.5913,10000
10.50304,0.08583,0.42641,1.8355,0.0452,9.72627,4.98831,1.59754,10000
10.59474,0.08819,0.42439,1.83328,0.04539,9.74779,4.98983,1.59758,10000
10.68644,0.09053,0.42219,1.83117,0.0456,9.76931,4.98646,1.59598,10000
10.77815,0.09287,0.41999,1.82906,0.0458,9.79083,4.98743,1.5976,10000
10.86985,0.0952,0.41779,1.82696,0.046,9.81235,4.98609,1.59452,10000
10.96155,0.09756,0.41541,1.82493,0.04623,9.83386,4.98461,1.59665,10000
11.05325,0.09992,0.41286,1.82299,0.04649,9.85538,4.98746,1.59592,10000
11.14496,0.10224,0.41018,1.82108,0.04678,9.8769,4.98921,1.59821,10000
11.23666,0.10455,0.40746,1.81917,0.04708,9.89842,4.98876,1.59649,10000
11.32836,0.10686,0.40474,1.81727,0.04738,9.91994,4.9885,1.59773,10000
11.42007,0.10917,0.40205,1.81534,0.04768,9.94146,4.98414,1.59825,10000
11.51177,0.11138,0.39982,1.81305,0.04793,9.96297,4.98816,1.59802,10000
11.60347,0.11366,0.39762,1.81073,0.04817,9.98449,4.9831,1.59601,10000
11.69518,0.11613,0.39545,1.80837,0.04837,10.00601,4.988,1.60024,10000
11.78688,0.1186,0.39328,1.806,0.04857,10.02753,4.98619,1.59873,10000
11.87858,0.12107,0.39112,1.80363,0.04877,10.04905,4.98585,1.59618,10000
11.97029,0.12366,0.38887,1.80147,0.04899,10.07057,4.98719,1.59841,10000
12.06199,0.12634,0.38656,1.79945,0.04923,10.09208,4.98143,1.59151,10000
12.15369,0.12876,0.38435,1.79749,0.04949,10.1136,4.98825,1.59729,10000
12.24539,0.13113,0.38216,1.79554,0.04976,10.13512,4.98849,1.59945,10000
12.3371,0.1335,0.37997,1.79359,0.05003,10.15664,4.98836,1.59979,10000
12.4288,0.13585,0.37775,1.79165,0.0503,10.17816,4.9874,1.60305,10000
12.5205,0.13807,0.37531,1.78981,0.05058,10.19967,4.9892,1.60573,10000
12.61221,0.14036,0.37292,1.78791,0.05085,10.22119,4.9908,1.60775,10000
12.70391,0.14276,0.3706,1.78592,0.05111,10.24271,4.99001,1.60884,10000
12.79561,0.14516,0.36828,1.78394,0.05136,10.26423,4.98942,1.61414,10000
12.88732,0.14757,0.36596,1.78196,0.05162,10.28575,4.99267,1.60657,10000
12.97902,0.15001,0.36376,1.77982,0.05188,10.30727,4.99137,1.6026,10000
13.07072,0.15246,0.3616,1.7776,0.05213,10.32878,4.9893,1.59947,10000
13.16242,0.15462,0.35924,1.77543,0.0524,10.3503,4.98484,1.59348,10000
13.25413,0.15675,0.35687,1.77325,0.05267,10.37182,4.98846,1.59354,10000
13.34583,0.15888,0.3545,1.77108,0.05294,10.39334,4.99162,1.58808,10000
13.43753,0.161,0.35214,1.76893,0.05321,10.41486,4.99183,1.59131,10000
13.52924,0.1631,0.34981,1.76688,0.05347,10.43638,4.98906,1.59772,10000
13.62094,0.16539,0.34755,1.7647,0.05374,10.45789,4.99173,1.59703,10000
13.71264,0.1679,0.34534,1.7624,0.054,10.47941,4.98789,1.59745,10000
13.80435,0.1704,0.34314,1.7601,0.05427,10.50093,4.98761,1.60076,10000
13.89605,0.17291,0.34093,1.7578,0.05453,10.52245,4.98659,1.60408,10000
13.98775,0.17539,0.33873,1.75538,0.05481,10.54397,4.99274,1.60515,10000
14.07946,0.17784,0.33651,1.75291,0.0551,10.56549,4.99295,1.60287,10000
14.17116,0.18002,0.33412,1.75099,0.0554,10.587,4.9928,1.60197,10000
14.26286,0.1822,0.33173,1.74906,0.0557,10.60852,4.99663,1.59648,10000
14.35456,0.18438,0.32934,1.74714,0.056,10.63004,4.99525,1.58201,10000
14.44627,0.18656,0.32693,1.74526,0.0563,10.65156,4.99588,1.55086,10000
14.53797,0.1888,0.32442,1.74367,0.05665,10.67308,4.987,1.53065,10000
14.62967,0.19111,0.32196,1.74193,0.05701,10.6946,4.99267,1.5069,10000
14.72138,0.19352,0.31957,1.73996,0.05738,10.71611,4.99236,1.50564,10000
14.81308,0.19593,0.31719,1.73799,0.05776,10.73763,4.9903,1.50404,10000
14.90478,0.19835,0.31481,1.73602,0.05813,10.75915,4.98889,1.50124,10000
14.99649,0.20049,0.31249,1.73381,0.05847,10.78067,4.9901,1.50508,10000
15.08819,0.20258,0.31019,1.73157,0.05879,10.80219,4.99499,1.5048,10000
15.17989,0.20454,0.30798,1.72936,0.05907,10.82371,4.99564,1.50018,10000
15.2716,0.2065,0.30577,1.72716,0.05935,10.84522,4.99044,1.5,10000
15.3633,0.20846,0.30356,1.72495,0.05963,10.86674,4.99568,1.50256,10000
15.455,0.21054,0.30133,1.72298,0.05994,10.88826,4.99107,1.50281,10000
15.5467,0.21278,0.29906,1.72134,0.06029,10.90978,4.99301,1.50234,10000
15.63841,0.21501,0.29673,1.71979,0.06069,10.9313,4.99416,1.50354,10000
15.73011,0.21722,0.29438,1.7183,0.06112,10.95282,4.99249,1.50567,10000
15.82181,0.21943,0.29203,1.71681,0.06155,10.97433,4.99558,1.50562,10000
15.91352,0.22165,0.28967,1.71532,0.06198,10.99585,4.99539,1.50384,10000
16.00522,0.22386,0.28733,1.71333,0.06238,11.01737,4.99631,1.50389,10000
16.09692,0.22606,0.28502,1.71135,0.06277,11.03889,4.9955,1.49265,10000
16.18863,0.22821,0.28278,1.70942,0.06311,11.06041,4.99164,1.46529,10000
16.28033,0.23036,0.28055,1.7075,0.06345,11.08193,4.99359,1.50852,10000
16.37203,0.2325,0.27831,1.70558,0.0638,11.10344,4.99618,1.50963,10000
16.46373,0.23465,0.27614,1.70372,0.06415,11.12496,4.99238,1.51038,10000
16.55544,0.23679,0.27402,1.70193,0.06451,11.14648,4.99374,1.51047,10000
16.64714,0.239,0.27167,1.70002,0.0649,11.168,4.99285,1.51136,10000
16.73884,0.24126,0.26915,1.69803,0.06532,11.18952,4.99372,1.51048,10000
16.83055,0.24352,0.26664,1.69603,0.06574,11.21104,4.99491,1.51269,10000
16.92225,0.24575,0.26413,1.69403,0.06616,11.23255,4.99275,1.50873,10000
17.01395,0.24759,0.26168,1.69197,0.06661,11.25407,4.99431,1.50781,10000
17.10566,0.24943,0.25933,1.68998,0.06705,11.27559,4.99606,1.5087,10000
17.19736,0.25127,0.25723,1.6882,0.06749,11.29711,4.99554,1.50895,10000
17.28906,0.25311,0.25512,1.68641,0.06793,11.31863,4.99491,1.50768,10000
17.38077,0.25494,0.25301,1.68462,0.06837,11.34014,4.98902,1.50616,10000
17.47247,0.25696,0.25077,1.68286,0.06882,11.36166,4.99066,1.50589,10000
17.56417,0.25908,0.24845,1.68112,0.06928,11.38318,4.9939,1.50329,10000
17.65587,0.26111,0.24612,1.67934,0.06975,11.4047,4.99432,1.50448,10000
17.74758,0.26311,0.24378,1.67754,0.07022,11.42622,4.99461,1.50522,10000
17.83928,0.26511,0.24143,1.67573,0.0707,11.44774,4.99505,1.50712,10000
