in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
9.59428,0.11298,1.84471,0.37893,0.01822,9.51789,5.05442,1.54499,9998.46761
9.69224,0.11479,1.84242,0.37677,0.0188,9.54083,5.05947,1.54404,9998.68265
9.79021,0.11661,1.84013,0.37461,0.01938,9.56376,5.05988,1.5447,9999.39517
9.88818,0.11842,1.838,0.3721,0.01999,9.5867,5.06219,1.54544,9997.58221
9.98614,0.12002,1.83611,0.36937,0.02066,9.60963,5.06219,1.54493,9997.41151
10.08411,0.12162,1.83421,0.36663,0.02133,9.63256,5.06085,1.54491,9998.87855
10.18207,0.12322,1.83232,0.3639,0.022,9.6555,5.06216,1.54462,9997.82736
10.28004,0.12482,1.83042,0.36117,0.02267,9.67843,5.06144,1.54523,9998.98271
10.37801,0.12633,1.82834,0.35869,0.02333,9.70137,5.05916,1.54686,9998.32192
10.47597,0.12787,1.82583,0.35647,0.02402,9.7243,5.05548,1.54929,10000.74425
10.57394,0.12942,1.82328,0.35427,0.02471,9.74724,5.0573,1.55178,9997.87049
10.6719,0.13097,1.82073,0.35207,0.0254,9.77017,5.05817,1.54988,9998.31598
10.76987,0.13251,1.81818,0.34987,0.02609,9.79311,5.05664,1.54645,9998.02365
10.86784,0.13423,1.81565,0.34762,0.02683,9.81604,5.05242,1.54169,9997.64771
10.9658,0.13624,1.81275,0.3454,0.02761,9.83898,5.05632,1.54319,9997.33494
11.06377,0.13828,1.80976,0.34319,0.0284,9.86191,5.05625,1.53919,9999.50692
11.16173,0.14033,1.80677,0.34098,0.02919,9.88485,5.05563,1.53942,9998.87354
11.2597,0.14237,1.80378,0.33877,0.02998,9.90778,5.05662,1.54011,9999.56748
11.35767,0.14424,1.80097,0.33631,0.03077,9.93072,5.05938,1.53906,9998.29218
11.45563,0.14583,1.7988,0.33347,0.03154,9.95365,5.05263,1.5346,9998.45259
11.5536,0.14737,1.79682,0.33057,0.03231,9.97658,5.05122,1.53436,9999.44265
11.65156,0.1489,1.79484,0.32767,0.03307,9.99952,5.05666,1.5355,9997.93356
11.74953,0.15044,1.79285,0.32476,0.03384,10.02245,5.05417,1.5337,9997.76736
11.8475,0.15194,1.79077,0.32209,0.03461,10.04539,5.05074,1.53232,9998.73155
11.94546,0.15336,1.7884,0.32002,0.03545,10.06832,5.05685,1.5342,9998.19181
12.04343,0.15476,1.78594,0.31817,0.03632,10.09126,5.05159,1.53357,9997.74237
12.1414,0.15616,1.78347,0.31632,0.03718,10.11419,5.05183,1.5347,9997.96134
12.23936,0.15756,1.781,0.31447,0.03805,10.13713,5.05365,1.5346,9998.94914
12.33733,0.15902,1.77843,0.31256,0.03892,10.16006,5.05946,1.53441,10000.53344
12.43529,0.16073,1.77555,0.31043,0.03979,10.183,5.06058,1.53337,9998.35884
12.53326,0.16256,1.77257,0.30821,0.04062,10.20593,5.05647,1.53397,9997.77381
12.63123,0.16438,1.76959,0.30598,0.04146,10.22887,5.05992,1.53291,9998.85494
12.72919,0.16621,1.76661,0.30375,0.04229,10.2518,5.05927,1.53509,9996.29903
12.82716,0.16794,1.76383,0.30151,0.04312,10.27474,5.05564,1.53668,9998.5635
12.92512,0.16922,1.76188,0.29913,0.04395,10.29767,5.0559,1.53674,9998.14247
13.02309,0.17026,1.76024,0.29666,0.04477,10.32061,5.05962,1.53191,9998.27549
13.12106,0.1713,1.75861,0.29419,0.0456,10.34354,5.05955,1.53545,9999.24019
13.21902,0.17234,1.75697,0.29171,0.04642,10.36647,5.059,1.53684,9998.85269
13.31699,0.17345,1.75523,0.28931,0.04726,10.38941,5.06078,1.5381,9998.65192
13.41495,0.17505,1.75268,0.2874,0.04819,10.41234,5.05463,1.53962,9999.89695
13.51292,0.17677,1.74977,0.28554,0.0492,10.43528,5.05771,1.54163,9999.82481
13.61089,0.17849,1.74686,0.28368,0.05021,10.45821,5.05956,1.53938,9999.75886
13.70885,0.18021,1.74395,0.28183,0.05122,10.48115,5.05459,1.537,9998.22814
13.80682,0.18192,1.74105,0.27995,0.05223,10.50408,5.05672,1.53798,9998.89331
13.90478,0.18343,1.73821,0.27771,0.05322,10.52702,5.06051,1.53838,9998.19263
14.00275,0.18488,1.73572,0.27545,0.05416,10.54995,5.06161,1.54051,9996.60919
14.10072,0.18633,1.73324,0.2732,0.0551,10.57289,5.06219,1.54027,9997.30049
14.19868,0.18779,1.73075,0.27095,0.05604,10.59582,5.06186,1.54498,9998.02861
14.29665,0.18924,1.72827,0.2687,0.05698,10.61876,5.06066,1.54842,9999.36592
14.39461,0.19022,1.72627,0.26614,0.05797,10.64169,5.05495,1.5517,9997.86728
14.49258,0.19122,1.72413,0.2635,0.05899,10.66463,5.05962,1.55191,9998.35426
14.59055,0.19223,1.722,0.26086,0.06002,10.68756,5.06114,1.55038,9998.12823
14.68851,0.19324,1.71986,0.25822,0.06105,10.71049,5.05736,1.54973,9998.53188
14.78648,0.19425,1.71773,0.25558,0.06207,10.73343,5.05461,1.5515,9999.18645
14.88445,0.1956,1.71525,0.25319,0.06311,10.75636,5.06091,1.54802,9996.61128
14.98241,0.19669,1.71307,0.25067,0.06415,10.7793,5.05851,1.54795,9999.70363
15.08038,0.19779,1.71088,0.24815,0.06519,10.80223,5.06171,1.54526,9998.48413
15.17834,0.19888,1.7087,0.24563,0.06623,10.82517,5.06063,1.54497,9999.31618
15.27631,0.19997,1.70652,0.24311,0.06728,10.8481,5.05842,1.544,9997.72324
15.37428,0.20078,1.70452,0.24076,0.06831,10.87104,5.06139,1.54024,9999.75525
15.47224,0.2016,1.70245,0.23879,0.06935,10.89397,5.06318,1.53916,9997.90331
15.57021,0.20243,1.70037,0.23686,0.07038,10.91691,5.06033,1.53596,9999.80507
15.66817,0.20327,1.69829,0.23493,0.07142,10.93984,5.06159,1.53757,9998.01057
15.76614,0.20411,1.69621,0.23301,0.07246,10.96278,5.06137,1.53714,9998.3553
15.86411,0.20512,1.69403,0.23097,0.07353,10.98571,5.06178,1.53717,9997.96036
15.96207,0.20628,1.69155,0.22872,0.07469,11.00865,5.05508,1.53868,10001.09271
16.06004,0.20747,1.68892,0.22637,0.07588,11.03158,5.0595,1.53898,9997.7018
16.158,0.20867,1.68628,0.22402,0.07708,11.05451,5.05985,1.53681,9998.2879
16.25597,0.20986,1.68365,0.22166,0.07827,11.07745,5.06282,1.5373,9998.3086
16.35394,0.21099,1.68117,0.21925,0.07946,11.10038,5.06256,1.53495,9999.05557
16.4519,0.21194,1.67912,0.21691,0.08063,11.12332,5.06548,1.53465,10000.12362
16.54987,0.21284,1.67719,0.21461,0.08178,11.14625,5.05758,1.53281,9998.23031
16.64783,0.21374,1.67527,0.21232,0.08293,11.16919,5.0596,1.53165,9998.74562
16.7458,0.21464,1.67334,0.21002,0.08408,11.19212,5.06199,1.53357,9998.08383
16.84377,0.21546,1.67123,0.20778,0.08527,11.21506,5.06077,1.53339,9997.90926
16.94173,0.21613,1.66856,0.20579,0.08654,11.23799,5.05852,1.53316,9998.35915
17.0397,0.2168,1.66569,0.20392,0.08784,11.26093,5.05961,1.53409,9997.54603
17.13766,0.21747,1.66283,0.20205,0.08914,11.28386,5.06224,1.53466,9997.58202
17.23563,0.21813,1.65996,0.20019,0.09045,11.3068,5.05874,1.53455,9999.78437
17.3336,0.21887,1.65722,0.19827,0.09175,11.32973,5.05575,1.53473,9998.02088
17.43156,0.21978,1.65502,0.19605,0.09306,11.35267,5.05619,1.53581,9997.3951
17.52953,0.22073,1.65312,0.19356,0.09436,11.3756,5.05671,1.53929,9998.10552
17.62749,0.22167,1.65122,0.19108,0.09566,11.39853,5.06037,1.53743,9998.27591
17.72546,0.22262,1.64932,0.1886,0.09696,11.42147,5.05809,1.5345,9998.54038
17.82343,0.22347,1.64746,0.18607,0.09827,11.4444,5.05714,1.53537,9999.26127
17.92139,0.22397,1.64554,0.18356,0.09962,11.46734,5.05631,1.53562,9998.03078
18.01936,0.22449,1.64326,0.18138,0.10101,11.49027,5.06046,1.53861,9997.77248
18.11733,0.22501,1.64097,0.17919,0.1024,11.51321,5.06036,1.53737,9997.5055
18.21529,0.22554,1.63869,0.17701,0.1038,11.53614,5.05153,1.53973,9997.56416
18.31326,0.22611,1.63637,0.17488,0.10519,11.55908,5.06141,1.53893,9997.28234
18.41122,0.22704,1.63382,0.17311,0.10657,11.58201,5.0578,1.54045,9998.32997
18.50919,0.22779,1.63162,0.17108,0.10794,11.60495,5.06056,1.54271,9998.62928
18.60716,0.22854,1.62943,0.16905,0.10932,11.62788,5.05874,1.5449,9998.96106
18.70512,0.2293,1.62723,0.16703,0.11069,11.65082,5.06085,1.54297,10000.17514
18.80309,0.23005,1.62503,0.165,0.11207,11.67375,5.05858,1.54409,9999.12064
18.90105,0.23047,1.62287,0.16288,0.11353,11.69669,5.06095,1.54875,9997.67685
18.99902,0.23083,1.6207,0.16067,0.11503,11.71962,5.05886,1.54954,9997.06689
