in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
16.2298,0.23295,0.76646,1.67837,0.05455,12.30235,5.42073,1.60128,10000
16.322,0.23533,0.76437,1.67571,0.05478,12.34067,5.4205,1.60221,10000
16.41419,0.23767,0.76216,1.67343,0.05504,12.379,5.42629,1.59991,10000
16.50639,0.23997,0.75981,1.67156,0.05531,12.41732,5.42827,1.60505,10000
16.59859,0.24224,0.75737,1.66985,0.05558,12.45565,5.42486,1.59982,10000
16.69079,0.24447,0.75476,1.66841,0.05587,12.49397,5.42218,1.60209,10000
16.78299,0.2467,0.75215,1.66696,0.05617,12.5323,5.42429,1.6026,10000
16.87519,0.24892,0.74956,1.66549,0.05646,12.57062,5.42029,1.60196,10000
16.96739,0.25107,0.74748,1.66349,0.05672,12.60895,5.41692,1.60017,10000
17.05959,0.25323,0.7454,1.66149,0.05699,12.64727,5.42273,1.60095,10000
17.15179,0.25525,0.74355,1.65913,0.05725,12.6856,5.42698,1.59002,10000
17.24398,0.25723,0.74178,1.65667,0.05751,12.72392,5.4228,1.59562,10000
17.33618,0.25921,0.74,1.65421,0.05777,12.76225,5.42592,1.59541,10000
17.42838,0.26126,0.73788,1.65197,0.05805,12.80057,5.42111,1.58983,10000
17.52058,0.26336,0.73554,1.64988,0.05833,12.8389,5.41668,1.59828,10000
17.61278,0.2656,0.73305,1.64795,0.05864,12.87722,5.41842,1.60035,10000
17.70498,0.26814,0.73031,1.6463,0.05899,12.91555,5.41888,1.59901,10000
17.79718,0.27068,0.72756,1.64466,0.05934,12.95387,5.41197,1.60098,10000
17.88938,0.27319,0.72488,1.64291,0.05968,12.9922,5.41881,1.60572,10000
17.98158,0.27561,0.72246,1.64071,0.06003,13.03052,5.41704,1.60344,10000
18.07378,0.27799,0.72004,1.63853,0.06038,13.06885,5.41562,1.5989,10000
18.16597,0.28005,0.71762,1.63654,0.0607,13.10718,5.41509,1.60275,10000
18.25817,0.28211,0.71521,1.63455,0.06101,13.1455,5.41256,1.60174,10000
18.35037,0.28417,0.71279,1.63256,0.06132,13.18383,5.41522,1.60584,10000
18.44257,0.28625,0.71036,1.63112,0.06166,13.22215,5.41562,1.60334,10000
18.53477,0.28834,0.70793,1.62984,0.06199,13.26048,5.42223,1.59795,10000
18.62697,0.29045,0.70556,1.62844,0.06234,13.2988,5.42036,1.59643,10000
18.71917,0.2926,0.70326,1.62691,0.06271,13.33713,5.41986,1.5978,10000
18.81137,0.29475,0.70095,1.62539,0.06309,13.37545,5.41918,1.60327,10000
18.90357,0.29687,0.69869,1.62367,0.06344,13.41378,5.41935,1.59917,10000
18.99576,0.29894,0.69649,1.62157,0.06378,13.4521,5.42493,1.59684,10000
19.08796,0.301,0.69432,1.61945,0.06412,13.49043,5.42367,1.59733,10000
19.18016,0.30292,0.69256,1.61715,0.06442,13.52875,5.41725,1.6029,10000
19.27236,0.30484,0.6908,1.61485,0.06472,13.56708,5.41484,1.60435,10000
19.36456,0.30676,0.68904,1.61255,0.06503,13.6054,5.41635,1.6044,10000
19.45676,0.30883,0.68707,1.61058,0.06533,13.64373,5.41399,1.59926,10000
19.54896,0.3109,0.68508,1.60864,0.06564,13.68205,5.40963,1.59912,10000
19.64116,0.31319,0.68281,1.60676,0.06595,13.72038,5.40927,1.60456,10000
19.73336,0.31552,0.68047,1.6049,0.06627,13.7587,5.41561,1.60278,10000
19.82555,0.31784,0.67814,1.60304,0.06659,13.79703,5.41452,1.59975,10000
19.91775,0.32022,0.67576,1.60118,0.06691,13.83535,5.40996,1.60199,10000
20.00995,0.32266,0.67335,1.59931,0.06724,13.87368,5.41244,1.6008,10000
20.10215,0.32499,0.67088,1.59752,0.06757,13.912,5.41345,1.60544,10000
20.19435,0.32716,0.66833,1.59581,0.06791,13.95033,5.40917,1.58764,10000
20.28655,0.32933,0.66579,1.59411,0.06825,13.98865,5.41004,1.58517,10000
20.37875,0.3315,0.66326,1.59241,0.06858,14.02698,5.41136,1.59168,10000
20.47095,0.3336,0.66086,1.59077,0.06893,14.0653,5.4101,1.60092,10000
20.56315,0.3357,0.65846,1.58913,0.06927,14.10363,5.41516,1.60663,10000
20.65535,0.3379,0.6561,1.58747,0.06962,14.14195,5.40654,1.60082,10000
20.74754,0.34012,0.65376,1.58582,0.06996,14.18028,5.40269,1.60309,10000
20.83974,0.34234,0.65141,1.58416,0.07031,14.2186,5.41271,1.60349,10000
20.93194,0.34446,0.64918,1.58218,0.07065,14.25693,5.40903,1.60359,10000
21.02414,0.34652,0.64701,1.58002,0.07099,14.29525,5.41111,1.60019,10000
21.11634,0.34854,0.64486,1.57775,0.07133,14.33358,5.40863,1.5989,10000
21.20854,0.35051,0.64275,1.57529,0.07167,14.3719,5.40385,1.59945,10000
21.30074,0.35248,0.64063,1.57283,0.07201,14.41023,5.41035,1.6014,10000
21.39294,0.35449,0.63848,1.57045,0.07236,14.44855,5.40784,1.60294,10000
21.48514,0.35662,0.63621,1.56835,0.07273,14.48688,5.40052,1.60036,10000
21.57733,0.35879,0.63391,1.56627,0.07311,14.5252,5.39877,1.60127,10000
21.66953,0.36114,0.63148,1.56434,0.07347,14.56353,5.39806,1.6069,10000
21.76173,0.3635,0.62905,1.56241,0.07383,14.60185,5.40573,1.60352,10000
21.85393,0.36585,0.62662,1.56049,0.07419,14.64018,5.39905,1.60104,10000
21.94613,0.36801,0.62428,1.55849,0.07452,14.6785,5.40519,1.59579,10000
22.03833,0.37011,0.62196,1.55648,0.07485,14.71683,5.3963,1.59606,10000
22.13053,0.37195,0.61983,1.55428,0.0752,14.75515,5.40226,1.60281,10000
22.22273,0.37368,0.61778,1.55202,0.07556,14.79348,5.40269,1.59927,10000
22.31493,0.37542,0.61573,1.54976,0.07592,14.8318,5.39902,1.59567,10000
22.40712,0.37721,0.6136,1.5475,0.0763,14.87013,5.40268,1.59987,10000
22.49932,0.37908,0.61137,1.54526,0.0767,14.90845,5.40252,1.60057,10000
22.59152,0.38101,0.6091,1.54309,0.07711,14.94678,5.40404,1.59875,10000
22.68372,0.3833,0.60647,1.54141,0.07756,14.9851,5.40864,1.59655,10000
22.77592,0.38559,0.60384,1.53973,0.07801,15.02343,5.40329,1.5982,10000
22.86812,0.38788,0.60121,1.53805,0.07846,15.06175,5.40059,1.59815,10000
22.96032,0.39032,0.59845,1.53666,0.07887,15.10008,5.402,1.60402,10000
23.05252,0.39277,0.5957,1.53529,0.07928,15.1384,5.39597,1.60114,10000
23.14472,0.39503,0.5932,1.53365,0.07966,15.17673,5.39486,1.60308,10000
23.23692,0.39726,0.59074,1.53198,0.08004,15.21505,5.40045,1.59959,10000
23.32911,0.3995,0.58827,1.5303,0.08042,15.25338,5.40216,1.60324,10000
23.42131,0.40155,0.58603,1.52832,0.08079,15.2917,5.40095,1.60097,10000
23.51351,0.40344,0.58397,1.52608,0.08116,15.33003,5.39876,1.60313,10000
23.60571,0.40531,0.58191,1.5238,0.08152,15.36835,5.39499,1.60226,10000
23.69791,0.40714,0.57986,1.52149,0.08187,15.40668,5.40588,1.6037,10000
23.79011,0.40897,0.57781,1.51918,0.08222,15.445,5.4047,1.60396,10000
23.88231,0.41082,0.57574,1.51692,0.08258,15.48333,5.4029,1.60191,10000
23.97451,0.41288,0.57346,1.51495,0.083,15.52165,5.40386,1.60222,10000
24.06671,0.41494,0.57118,1.51298,0.08342,15.55998,5.39924,1.6032,10000
24.1589,0.41697,0.56883,1.51095,0.08385,15.5983,5.39654,1.60104,10000
24.2511,0.419,0.56647,1.50892,0.08429,15.63663,5.39832,1.59631,10000
24.3433,0.42103,0.56411,1.50689,0.08472,15.67496,5.40004,1.59982,10000
24.4355,0.42299,0.56176,1.50476,0.08513,15.71328,5.40375,1.60202,10000
24.5277,0.42492,0.55941,1.50257,0.08553,15.75161,5.39854,1.60173,10000
24.6199,0.42699,0.55704,1.50051,0.08593,15.78993,5.40393,1.60159,10000
24.7121,0.42914,0.55464,1.49851,0.08634,15.82826,5.40319,1.59799,10000
24.8043,0.4313,0.55225,1.49652,0.08675,15.86658,5.40224,1.59935,10000
24.8965,0.43346,0.54985,1.49457,0.08716,15.90491,5.4053,1.60088,10000
24.98869,0.4356,0.54741,1.49273,0.08758,15.94323,5.41519,1.60112,10000
25.08089,0.43774,0.54498,1.49089,0.088,15.98156,5.40634,1.6051,10000
25.17309,0.43976,0.54253,1.48908,0.08844,16.01988,5.39953,1.59899,10000
25.26529,0.44179,0.54008,1.48726,0.08888,16.05821,5.40798,1.60494,10000
25.35749,0.44381,0.53763,1.48545,0.08932,16.09653,5.40694,1.60233,10000
25.44969,0.44594,0.53527,1.48363,0.08978,16.13486,5.39863,1.60394,10000
25.54189,0.44808,0.53293,1.48181,0.09025,16.17318,5.40478,1.60672,10000
25.63409,0.45016,0.53058,1.47989,0.09071,16.21151,5.39514,1.60775,10000
25.72629,0.45222,0.52823,1.47795,0.09116,16.24983,5.39856,1.60712,10000
25.81849,0.45429,0.52588,1.47601,0.09161,16.28816,5.39688,1.6073,10000
25.91068,0.45635,0.52349,1.47402,0.09205,16.32648,5.3963,1.60588,10000
26.00288,0.45841,0.52106,1.47196,0.09249,16.36481,5.39441,1.60463,10000
26.09508,0.46046,0.51869,1.4699,0.09292,16.40313,5.3865,1.6021,10000
26.18728,0.46251,0.51644,1.46784,0.09336,16.44146,5.38793,1.60075,10000
26.27948,0.46455,0.51418,1.46579,0.09379,16.47978,5.39081,1.60153,10000
26.37168,0.4666,0.51193,1.46373,0.09422,16.51811,5.39216,1.59077,10000
26.46388,0.46856,0.50964,1.46156,0.09466,16.55643,5.39238,1.59066,10000
26.55608,0.47051,0.50734,1.45939,0.0951,16.59476,5.38588,1.59758,10000
26.64828,0.47243,0.50477,1.45726,0.09559,16.63308,5.39449,1.60322,10000
26.74047,0.47434,0.50218,1.45514,0.09608,16.67141,5.3936,1.60212,10000
26.83267,0.47626,0.49959,1.45301,0.09657,16.70973,5.39617,1.6038,10000
26.92487,0.47808,0.49713,1.45081,0.09705,16.74806,5.39188,1.6005,10000
27.01707,0.47984,0.49477,1.44855,0.09753,16.78638,5.39687,1.60082,10000
27.10927,0.48158,0.49266,1.44624,0.09797,16.82471,5.39614,1.59143,10000
27.20147,0.4833,0.49081,1.44388,0.09836,16.86303,5.39588,1.59779,10000
27.29367,0.48503,0.48896,1.44153,0.09876,16.90136,5.38927,1.60121,10000
27.38587,0.4868,0.48706,1.43925,0.09915,16.93968,5.39253,1.59576,10000
27.47807,0.48883,0.4849,1.43742,0.09957,16.97801,5.39393,1.59969,10000
27.57027,0.49086,0.48273,1.43558,0.09999,17.01633,5.38897,1.60412,10000
27.66246,0.49292,0.48007,1.43376,0.10052,17.05466,5.38822,1.60124,10000
27.75466,0.49498,0.47734,1.43194,0.10106,17.09298,5.39445,1.60008,10000
27.84686,0.49704,0.47462,1.43011,0.10159,17.13131,5.39359,1.60235,10000
27.93906,0.49887,0.47207,1.42798,0.10212,17.16963,5.38967,1.60416,10000
28.03126,0.50061,0.4696,1.42572,0.10263,17.20796,5.38215,1.59916,10000
28.12346,0.50238,0.46724,1.42351,0.10312,17.24628,5.39234,1.59823,10000
28.21566,0.50418,0.46501,1.42135,0.10359,17.28461,5.39257,1.59758,10000
28.30786,0.50598,0.46279,1.41918,0.10406,17.32293,5.39293,1.6012,10000
