in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
4.58822,0.01223,0.94363,0.98124,0.02754,4.53947,4.52094,1.27201,4999.3506
4.68626,0.01355,0.94237,0.98009,0.02763,4.59552,4.52104,1.2737,5000.06468
4.78429,0.01491,0.94117,0.97884,0.02774,4.65156,4.52302,1.26939,4999.70887
4.88233,0.01634,0.94007,0.97742,0.02786,4.7076,4.52474,1.27676,4999.09167
4.98036,0.01779,0.93887,0.97593,0.02797,4.76364,4.52658,1.27576,4998.99082
5.0784,0.01927,0.93742,0.97424,0.02807,4.81969,4.52514,1.27943,4999.51255
5.17643,0.02074,0.93596,0.97256,0.02818,4.87573,4.52741,1.27314,5002.29146
5.27447,0.02221,0.93448,0.97092,0.02828,4.93177,4.52538,1.27394,4999.34541
5.3725,0.0236,0.93279,0.96957,0.02838,4.98782,4.5254,1.27844,4999.0347
5.47054,0.02497,0.93118,0.96818,0.02847,5.04386,4.53074,1.2728,4999.38009
5.56857,0.02628,0.93001,0.96658,0.02852,5.0999,4.53245,1.277,4999.84776
5.66661,0.02759,0.92884,0.96499,0.02858,5.15594,4.5265,1.27886,5000.14778
5.76464,0.02891,0.92764,0.96336,0.02864,5.21199,4.52577,1.27452,5000.329
5.86268,0.03029,0.9263,0.96161,0.02874,5.26803,4.52642,1.27151,4999.36823
5.96071,0.03169,0.92494,0.95991,0.02884,5.32407,4.52959,1.27677,4999.66004
6.05875,0.0332,0.92319,0.9588,0.02898,5.38012,4.53169,1.26745,5000.30932
6.15678,0.03472,0.92144,0.95768,0.02912,5.43616,4.53231,1.28469,4998.94271
6.25482,0.03625,0.91971,0.95656,0.02925,5.4922,4.53061,1.28175,4997.80545
6.35285,0.03792,0.9182,0.95536,0.02933,5.54824,4.53008,1.2794,4999.26449
6.45089,0.0396,0.9167,0.95416,0.0294,5.60429,4.53164,1.28229,4998.77466
6.54892,0.04134,0.91512,0.95254,0.02948,5.66033,4.53088,1.28304,4999.24853
6.64696,0.0431,0.91354,0.95091,0.02955,5.71637,4.53036,1.28153,5000.75373
6.74499,0.04485,0.91196,0.94927,0.02962,5.77242,4.53298,1.28234,4999.3503
6.84303,0.04654,0.91019,0.94814,0.02972,5.82846,4.53419,1.28176,4998.9235
6.94106,0.04824,0.90842,0.94701,0.02981,5.8845,4.52929,1.27979,5000.32929
7.0391,0.04973,0.90696,0.94587,0.02994,5.94054,4.53297,1.27807,4998.98379
7.13713,0.05119,0.90556,0.94472,0.03007,5.99659,4.53083,1.28368,4998.54904
7.23517,0.05265,0.90415,0.94358,0.03019,6.05263,4.53617,1.2804,4998.70921
7.3332,0.05388,0.90293,0.94196,0.03032,6.10867,4.53771,1.28282,5000.01233
7.43124,0.05501,0.90178,0.94015,0.03046,6.16472,4.53328,1.27241,5000.33039
7.52927,0.05615,0.90044,0.93845,0.03057,6.22076,4.53165,1.28344,4999.60706
7.62731,0.0573,0.89905,0.93678,0.03068,6.2768,4.53568,1.28724,4999.47967
7.72534,0.05845,0.89765,0.93511,0.0308,6.33284,4.53739,1.28319,4999.2266
7.82338,0.05972,0.89624,0.93341,0.03088,6.38889,4.53857,1.28425,5000.75567
7.92141,0.06102,0.89483,0.93171,0.03097,6.44493,4.53705,1.28187,5000.15374
8.01945,0.06251,0.8935,0.9302,0.03103,6.50097,4.53819,1.27426,4998.28336
8.11748,0.06409,0.89222,0.92878,0.03107,6.55702,4.53756,1.27835,4999.90561
8.21552,0.06567,0.89094,0.92737,0.03112,6.61306,4.53577,1.28114,4998.59981
8.31355,0.06716,0.88957,0.92619,0.0312,6.6691,4.53434,1.28081,4999.02742
8.41159,0.06858,0.88812,0.92521,0.0313,6.72514,4.54086,1.27853,4997.86653
8.50962,0.06983,0.88662,0.92392,0.03141,6.78119,4.53806,1.27434,5000.01353
8.60766,0.07097,0.88509,0.92237,0.03155,6.83723,4.53757,1.28647,4999.33892
8.70569,0.0721,0.88356,0.92083,0.03168,6.89327,4.53464,1.28402,4999.40669
8.80373,0.07344,0.88195,0.91947,0.03182,6.94932,4.53723,1.26722,4999.41127
8.90176,0.07491,0.88028,0.91822,0.03196,7.00536,4.5393,1.27789,5000.89151
8.9998,0.07644,0.87863,0.91716,0.03211,7.0614,4.54283,1.2845,4998.95306
9.09783,0.07805,0.87699,0.91631,0.03226,7.11744,4.53779,1.27773,4999.37264
9.19587,0.07966,0.87535,0.91546,0.03241,7.17349,4.5383,1.27955,4999.39407
9.2939,0.08124,0.87388,0.91435,0.03254,7.22953,4.53726,1.27532,4999.08477
9.39194,0.08279,0.87258,0.91299,0.03265,7.28557,4.53935,1.28303,4999.29722
9.48997,0.08435,0.87129,0.91157,0.03276,7.34162,4.5368,1.28289,4999.5544
9.58801,0.08597,0.87003,0.90996,0.03286,7.39766,4.54163,1.27483,5000.11052
9.68604,0.08759,0.86877,0.90835,0.03295,7.4537,4.53827,1.28564,4999.69521
9.78408,0.08918,0.86753,0.90677,0.03306,7.50974,4.54199,1.28526,4999.67089
9.88212,0.09067,0.86635,0.90526,0.03318,7.56579,4.54133,1.27657,4999.21674
9.98015,0.09207,0.86521,0.90375,0.0333,7.62183,4.53985,1.2796,4999.06972
10.07819,0.09323,0.86421,0.9022,0.03341,7.67787,4.5374,1.27745,4999.4596
10.17622,0.09439,0.86322,0.90066,0.03352,7.73392,4.54218,1.27104,4998.8168
10.27426,0.09557,0.86217,0.89915,0.03362,7.78996,4.54426,1.27953,4999.57685
10.37229,0.09681,0.86101,0.89771,0.03368,7.846,4.54341,1.28306,4997.77188
