in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
4.54377,0.041,0.49948,1.90795,0.04009,4.50952,4.83593,1.38859,4999.95503
4.6384,0.04248,0.49827,1.90666,0.04016,4.54343,4.83948,1.38792,4999.3234
4.73303,0.04371,0.49709,1.90505,0.04018,4.57733,4.84307,1.3884,5000.16606
4.82767,0.04499,0.49576,1.90392,0.04025,4.61124,4.83538,1.38548,4998.82504
4.9223,0.04634,0.49433,1.90311,0.04033,4.64515,4.83842,1.38604,4999.40999
5.01693,0.04768,0.4929,1.90231,0.04042,4.67905,4.83697,1.38495,4999.09952
5.11156,0.04903,0.49147,1.9015,0.04051,4.71296,4.83572,1.38526,4999.31289
5.2062,0.05056,0.48994,1.90071,0.04063,4.74686,4.83326,1.38487,5000.27961
5.30083,0.0522,0.48834,1.89983,0.04076,4.78077,4.84827,1.38703,4999.89532
5.39546,0.05374,0.48683,1.89843,0.04084,4.81468,4.83451,1.38419,4999.39471
5.4901,0.05527,0.48532,1.89704,0.04092,4.84858,4.84347,1.38538,4999.28647
5.58473,0.05681,0.48381,1.89565,0.041,4.88249,4.84625,1.38663,4999.80982
5.67936,0.0583,0.48235,1.8942,0.04108,4.9164,4.84779,1.38663,4999.2914
5.77399,0.05969,0.48105,1.89257,0.04113,4.9503,4.83848,1.3839,4998.63603
5.86863,0.06101,0.47983,1.89101,0.04122,4.98421,4.8414,1.38606,4999.35317
5.96326,0.06233,0.4786,1.88944,0.04132,5.01811,4.84571,1.38639,4999.9108
6.05789,0.06364,0.47738,1.88788,0.04141,5.05202,4.84549,1.3869,4998.85563
6.15252,0.06496,0.47615,1.88631,0.04151,5.08593,4.84923,1.38838,4998.19084
6.24716,0.06624,0.47482,1.88524,0.04165,5.11983,4.84309,1.38778,4999.27298
6.34179,0.06762,0.47341,1.88425,0.04177,5.15374,4.84503,1.38796,4999.27428
6.43642,0.06904,0.47198,1.88329,0.04189,5.18765,4.84426,1.38711,4999.09087
6.53106,0.07047,0.47055,1.88232,0.04201,5.22155,4.84015,1.38667,5000.16182
6.62569,0.07189,0.46912,1.88135,0.04213,5.25546,4.84439,1.38804,4999.73074
6.72032,0.07334,0.46783,1.88063,0.04223,5.28936,4.83868,1.38727,4999.37331
6.81495,0.0748,0.46661,1.87985,0.04232,5.32327,4.84205,1.38851,5000.38243
6.90959,0.07622,0.46542,1.87874,0.04242,5.35718,4.83968,1.38857,4998.82838
7.00422,0.07765,0.46422,1.87762,0.04251,5.39108,4.84103,1.3891,4999.00348
7.09885,0.07907,0.46303,1.87651,0.0426,5.42499,4.84279,1.38806,4999.2983
7.19349,0.08054,0.46167,1.87547,0.0427,5.45889,4.84222,1.38934,4999.87599
7.28812,0.08207,0.46011,1.8746,0.0428,5.4928,4.84606,1.38935,4998.97868
7.38275,0.08357,0.45867,1.87408,0.04289,5.52671,4.84013,1.38929,4999.40946
7.47738,0.08508,0.45722,1.87355,0.04299,5.56061,4.84599,1.39014,4999.17265
7.57202,0.08659,0.45578,1.87303,0.04308,5.59452,4.84615,1.39036,4999.88883
7.66665,0.08806,0.45439,1.87244,0.04317,5.62843,4.83953,1.38936,4999.02806
7.76128,0.08931,0.45341,1.8714,0.04326,5.66233,4.85228,1.39164,4999.81007
7.85591,0.09072,0.45221,1.87019,0.04336,5.69624,4.84521,1.39022,4998.6085
7.95055,0.09218,0.45092,1.86893,0.04348,5.73014,4.84632,1.39015,4999.94684
8.04518,0.09364,0.44964,1.86767,0.04359,5.76405,4.84384,1.3903,4999.9851
8.13981,0.0951,0.44835,1.86641,0.04371,5.79796,4.84664,1.3915,4999.66463
8.23445,0.09674,0.44686,1.86533,0.04382,5.83186,4.85195,1.3925,4999.58064
8.32908,0.0983,0.44544,1.86433,0.04392,5.86577,4.85195,1.3923,4999.1932
8.42371,0.09972,0.44415,1.86338,0.04401,5.89967,4.84309,1.39125,4999.6552
8.51834,0.10113,0.44285,1.86243,0.04411,5.93358,4.84628,1.39214,4998.79226
8.61298,0.10255,0.44156,1.86149,0.04421,5.96749,4.84661,1.39223,4999.78172
8.70761,0.10392,0.44034,1.86035,0.04431,6.00139,4.85331,1.39364,4998.47445
8.80224,0.1053,0.43911,1.85914,0.04441,6.0353,4.8439,1.392,4999.41103
8.89688,0.10676,0.43775,1.85805,0.04451,6.06921,4.85174,1.39364,4999.48228
8.99151,0.10822,0.43639,1.85695,0.04462,6.10311,4.84607,1.39243,4999.41098
9.08614,0.10968,0.43502,1.85586,0.04472,6.13702,4.85027,1.3896,4999.84144
9.18077,0.11119,0.43355,1.85486,0.04482,6.17092,4.85503,1.39558,4999.81277
9.27541,0.11285,0.43179,1.85413,0.04492,6.20483,4.85511,1.3961,4999.56045
9.37004,0.11432,0.43007,1.85296,0.04506,6.23874,4.84527,1.39439,4999.26112
9.46467,0.11576,0.42837,1.85173,0.0452,6.27264,4.84325,1.39484,4998.48425
9.5593,0.1172,0.42666,1.85051,0.04534,6.30655,4.84492,1.39504,4999.37457
9.65394,0.11865,0.42495,1.84928,0.04548,6.34046,4.85021,1.39592,4999.0894
9.74857,0.12003,0.42366,1.84762,0.04559,6.37436,4.85284,1.3964,5000.31646
9.8432,0.12161,0.42242,1.84621,0.04565,6.40827,4.85373,1.39683,4999.82618
9.93784,0.12324,0.42116,1.8449,0.04569,6.44217,4.8406,1.39411,4999.43621
10.03247,0.12488,0.4199,1.84359,0.04573,6.47608,4.83826,1.39447,4999.12988
10.1271,0.12652,0.41865,1.84228,0.04577,6.50999,4.85488,1.39709,4998.98369
10.22173,0.12806,0.41719,1.84073,0.04582,6.54389,4.84175,1.39513,4998.69452
10.31637,0.12946,0.41575,1.83873,0.04587,6.5778,4.8441,1.39619,4998.94313
10.411,0.13077,0.41451,1.83647,0.04592,6.6117,4.8482,1.39691,4999.88904
10.50563,0.13209,0.41328,1.83422,0.04597,6.64561,4.84938,1.39747,4999.38446
10.60027,0.13341,0.41204,1.83197,0.04601,6.67952,4.84234,1.39664,4999.68891
10.6949,0.13476,0.41087,1.82981,0.04606,6.71342,4.84537,1.39712,4999.10006
10.78953,0.13618,0.40989,1.82795,0.04613,6.74733,4.84783,1.39762,4998.67216
10.88416,0.13771,0.40836,1.8268,0.04625,6.78124,4.85393,1.39852,4999.83022
