in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
9.58108,0.10829,1.87974,0.87592,0.01785,9.53361,5.61707,1.56312,9998.48378
9.67856,0.11049,1.87728,0.8738,0.01816,9.57285,5.61777,1.56018,9997.9268
9.77604,0.11279,1.87459,0.87159,0.0185,9.61208,5.61563,1.55957,9999.36668
9.87353,0.11519,1.87169,0.86938,0.01888,9.65131,5.61768,1.56015,9998.23294
9.97101,0.1176,1.8688,0.86717,0.01926,9.69055,5.62161,1.55889,9997.28558
10.06849,0.12,1.8659,0.86496,0.01964,9.72978,5.61481,1.55805,9998.66081
10.16597,0.12225,1.86342,0.86266,0.02003,9.76901,5.60797,1.55638,9998.75367
10.26345,0.12427,1.86136,0.86019,0.02042,9.80825,5.62154,1.55673,9998.92887
10.36093,0.12623,1.8593,0.85761,0.02079,9.84748,5.61792,1.55698,9997.5546
10.45842,0.12818,1.85724,0.85502,0.02115,9.88671,5.61307,1.5562,9998.96027
10.5559,0.13013,1.85518,0.85244,0.02151,9.92594,5.62272,1.55322,9997.03978
10.65338,0.13222,1.85277,0.84992,0.02188,9.96518,5.6177,1.55523,9999.56953
10.75086,0.13455,1.84975,0.84753,0.02225,10.00441,5.62277,1.55573,9997.47036
10.84834,0.13695,1.84668,0.84522,0.02264,10.04364,5.62246,1.55431,9999.23111
10.94582,0.13935,1.84361,0.84291,0.02303,10.08288,5.62019,1.55203,9998.33073
11.04331,0.14175,1.84054,0.8406,0.02342,10.12211,5.61187,1.55342,9997.93318
11.14079,0.14408,1.83769,0.83827,0.02381,10.16134,5.61582,1.55398,9998.78718
11.23827,0.14615,1.83564,0.83589,0.02418,10.20058,5.61749,1.55392,9998.26277
11.33575,0.1481,1.83399,0.83341,0.02453,10.23981,5.61302,1.55626,9998.18488
11.43323,0.15005,1.83234,0.83093,0.02488,10.27904,5.61927,1.55447,9998.89901
11.53071,0.15201,1.83069,0.82845,0.02524,10.31827,5.61954,1.5576,9998.23228
11.6282,0.15397,1.82896,0.82598,0.0256,10.35751,5.61732,1.55515,9998.35588
11.72568,0.15599,1.82657,0.82363,0.026,10.39674,5.60835,1.55508,9998.12456
11.82316,0.15812,1.82374,0.82147,0.02647,10.43597,5.61836,1.55376,9998.28241
11.92064,0.16026,1.82091,0.81931,0.02695,10.47521,5.61915,1.55501,9997.72838
12.01812,0.16239,1.81808,0.81715,0.02742,10.51444,5.61212,1.55357,9998.23903
12.1156,0.16453,1.81524,0.81499,0.0279,10.55367,5.60435,1.55521,9999.53402
12.21309,0.16664,1.81247,0.81249,0.02839,10.5929,5.61195,1.55586,9998.08725
12.31057,0.16863,1.80993,0.80976,0.02886,10.63214,5.60819,1.55577,9998.27386
12.40805,0.17061,1.80742,0.80701,0.02932,10.67137,5.61503,1.55998,9998.45725
12.50553,0.17258,1.8049,0.80425,0.02978,10.7106,5.61618,1.55744,9998.07867
12.60301,0.17456,1.80238,0.8015,0.03024,10.74984,5.60924,1.55712,9997.91698
12.70049,0.17691,1.79999,0.79925,0.03066,10.78907,5.61528,1.55439,9999.46892
12.79798,0.1794,1.79772,0.79741,0.03105,10.8283,5.60573,1.55748,9998.12689
12.89546,0.18191,1.79548,0.79565,0.03144,10.86754,5.6107,1.55813,9996.669
12.99294,0.18442,1.79325,0.7939,0.03182,10.90677,5.60635,1.55721,9998.07969
13.09042,0.18694,1.79101,0.79215,0.0322,10.946,5.61128,1.55951,9997.77655
