in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
4.55782,-0.02983,0.96023,1.92347,0.03626,4.50203,4.81299,1.32079,4999.15817
4.65177,-0.02841,0.95858,1.9228,0.03634,4.5637,4.82924,1.32255,4999.22204
4.74572,-0.02698,0.95722,1.9219,0.0364,4.62538,4.83501,1.3241,4999.4291
4.83966,-0.02565,0.95626,1.92007,0.03641,4.68705,4.82929,1.32585,4998.57286
4.93361,-0.02432,0.95531,1.91823,0.03642,4.74872,4.83325,1.32548,4999.4812
5.02756,-0.02299,0.95435,1.9164,0.03642,4.81039,4.82408,1.32227,4999.30799
5.12151,-0.02166,0.95339,1.91456,0.03643,4.87206,4.82933,1.32738,4999.71652
5.21546,-0.02031,0.95237,1.91274,0.03644,4.93373,4.82949,1.32354,4999.10721
5.30941,-0.01877,0.95034,1.91177,0.03656,4.99541,4.83184,1.32493,4999.14417
5.40336,-0.01722,0.9483,1.91093,0.03671,5.05708,4.83067,1.32418,4998.70564
5.49731,-0.01568,0.94625,1.9101,0.03685,5.11875,4.83056,1.32518,4999.33783
5.59126,-0.01413,0.94421,1.90927,0.037,5.18042,4.83188,1.32277,4999.71304
5.68521,-0.01259,0.94217,1.90844,0.03714,5.24209,4.82998,1.32254,4999.88117
5.77916,-0.01121,0.94088,1.90727,0.03724,5.30376,4.83469,1.33304,4999.42571
5.87311,-0.00985,0.93999,1.90586,0.03729,5.36544,4.8353,1.33689,5000.40487
5.96706,-0.00849,0.9391,1.90445,0.03734,5.42711,4.83476,1.33172,5000.41838
6.06101,-0.00713,0.9382,1.90304,0.03739,5.48878,4.83423,1.33389,4999.42922
6.15495,-0.00577,0.93731,1.90162,0.03744,5.55045,4.8318,1.33068,4999.42782
6.2489,-0.00434,0.93621,1.90033,0.03749,5.61212,4.83355,1.32697,4999.41689
6.34285,-0.00281,0.93457,1.89924,0.03757,5.67379,4.83602,1.32785,4999.3673
6.4368,-0.00129,0.93294,1.89815,0.03764,5.73547,4.8352,1.32683,4998.25553
6.53075,2.40E-04,0.93131,1.89706,0.03772,5.79714,4.82895,1.32005,4999.15904
6.6247,0.00177,0.92967,1.89597,0.0378,5.85881,4.83515,1.32043,4999.65912
6.71865,0.0033,0.92806,1.89486,0.03787,5.92048,4.83402,1.32195,4999.41445
6.8126,0.00494,0.92672,1.89373,0.03796,5.98215,4.83168,1.32635,5000.2767
6.90655,0.00659,0.92542,1.89264,0.03805,6.04382,4.82714,1.32725,4999.54837
7.0005,0.00824,0.92411,1.89154,0.03814,6.1055,4.8318,1.32457,4998.65394
7.09445,0.0099,0.9228,1.89044,0.03823,6.16717,4.83275,1.32563,4999.47814
7.1884,0.01155,0.92149,1.88935,0.03832,6.22884,4.83534,1.32687,4999.33119
7.28235,0.01295,0.92021,1.88801,0.03837,6.29051,4.83169,1.32865,4998.33324
7.3763,0.01418,0.91904,1.88644,0.03838,6.35218,4.82918,1.32576,4999.20703
7.47024,0.01541,0.91788,1.88488,0.0384,6.41385,4.824,1.32832,5000.20205
7.56419,0.01663,0.91671,1.88332,0.03841,6.47553,4.82865,1.32632,4998.84213
7.65814,0.01786,0.91554,1.88176,0.03843,6.5372,4.82962,1.32758,4999.44456
7.75209,0.01919,0.91428,1.88024,0.03847,6.59887,4.82873,1.32817,4999.68329
7.84604,0.02074,0.91249,1.87899,0.03858,6.66054,4.83148,1.32795,4999.67596
7.93999,0.02229,0.9107,1.87775,0.0387,6.72221,4.83346,1.3303,4999.29746
8.03394,0.02383,0.90891,1.8765,0.03881,6.78388,4.83331,1.32272,4999.92675
8.12789,0.02538,0.90712,1.87525,0.03892,6.84556,4.83085,1.32746,4999.66738
8.22184,0.02693,0.90532,1.87403,0.03904,6.90723,4.83036,1.32442,4999.56383
8.31579,0.0285,0.904,1.87276,0.03911,6.9689,4.8255,1.33124,4998.97696
8.40974,0.03007,0.90277,1.87146,0.03917,7.03057,4.83345,1.32726,4999.78898
8.50369,0.03165,0.90154,1.87015,0.03922,7.09224,4.82356,1.3229,4999.13807
8.59764,0.03322,0.90031,1.86884,0.03928,7.15391,4.82729,1.32398,5000.06752
8.69159,0.0348,0.89908,1.86753,0.03934,7.21559,4.81965,1.32229,4999.66848
8.78553,0.03641,0.89752,1.86613,0.03939,7.27726,4.82841,1.32903,4999.72814
8.87948,0.03802,0.89575,1.86475,0.03946,7.33893,4.82538,1.32505,4998.86808
8.97343,0.03962,0.89398,1.86338,0.03953,7.4006,4.82312,1.32829,4999.51552
9.06738,0.04123,0.8922,1.86201,0.03959,7.46227,4.829,1.33426,4999.97715
9.16133,0.04284,0.89043,1.86063,0.03966,7.52394,4.82243,1.33455,4998.32403
9.25528,0.04433,0.88892,1.85939,0.03975,7.58562,4.82903,1.33636,4998.56829
9.34923,0.04566,0.88781,1.85835,0.03985,7.64729,4.82845,1.32752,4999.62542
9.44318,0.04698,0.88671,1.85731,0.03994,7.70896,4.82651,1.32887,4999.80014
9.53713,0.0483,0.8856,1.85627,0.04004,7.77063,4.82666,1.33059,4999.48768
9.63108,0.04963,0.8845,1.85523,0.04013,7.8323,4.82682,1.3309,4999.89882
9.72503,0.05092,0.88337,1.85415,0.04022,7.89397,4.83022,1.33062,4999.67966
9.81898,0.0521,0.88208,1.85257,0.0403,7.95565,4.83164,1.36082,4998.51698
9.91293,0.05329,0.88078,1.85096,0.04038,8.01732,4.83199,1.32506,4998.60345
10.00688,0.05447,0.87948,1.84935,0.04047,8.07899,4.82869,1.32748,4999.828
10.10082,0.05565,0.87818,1.84773,0.04055,8.14066,4.82255,1.33192,4998.94498
10.19477,0.05683,0.87688,1.84612,0.04064,8.20233,4.83352,1.33309,4999.86521
10.28872,0.05835,0.87561,1.84462,0.04071,8.264,4.82881,1.32801,5000.60001
10.38267,0.0599,0.87445,1.8432,0.04077,8.32568,4.8276,1.37735,4998.69324
10.47662,0.06146,0.87328,1.84178,0.04083,8.38735,4.83194,1.36749,4999.44918
10.57057,0.06301,0.87212,1.84036,0.04089,8.44902,4.83629,1.36226,4998.47724
10.66452,0.06457,0.87095,1.83894,0.04095,8.51069,4.83309,1.35812,5000.41093
10.75847,0.06601,0.8697,1.83779,0.04104,8.57236,4.83921,1.35108,5000.33987
10.85242,0.06737,0.86804,1.83683,0.04118,8.63403,4.8312,1.3536,4998.62082
10.94637,0.06873,0.86639,1.83587,0.04131,8.69571,4.83206,1.35178,4998.76813
11.04032,0.07009,0.86473,1.83491,0.04145,8.75738,4.83678,1.35121,4999.40317
11.13427,0.07146,0.86307,1.83395,0.04159,8.81905,4.83398,1.34962,5000.19519
11.22822,0.07283,0.86143,1.83284,0.04171,8.88072,4.8319,1.34588,4998.38943
11.32217,0.07433,0.86028,1.8312,0.04177,8.94239,4.8354,1.3412,4999.04098
11.41611,0.07585,0.85916,1.82957,0.04182,9.00406,4.83476,1.34494,4999.4766
11.51006,0.07736,0.85804,1.82794,0.04188,9.06574,4.83335,1.33872,5000.29242
11.60401,0.07888,0.85693,1.8263,0.04193,9.12741,4.83841,1.34188,5000.02482
11.69796,0.0804,0.85581,1.82467,0.04199,9.18908,4.83503,1.34433,5000.14284
11.79191,0.08198,0.85413,1.82356,0.04208,9.25075,4.82786,1.33806,4999.2706
11.88586,0.08353,0.85224,1.82253,0.04219,9.31242,4.83182,1.33887,4999.24327
11.97981,0.08509,0.85034,1.82151,0.0423,9.37409,4.83726,1.34005,4997.92541
12.07376,0.08664,0.84845,1.82048,0.04241,9.43577,4.83167,1.33957,4998.46141
12.16771,0.08819,0.84655,1.81945,0.04252,9.49744,4.83077,1.33988,4999.36369
12.26166,0.08959,0.84489,1.81821,0.04262,9.55911,4.82801,1.33389,4999.1619
