in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
9.55581,0.10272,0.91478,0.86415,0.02667,9.50283,4.97808,1.63661,9997.221
9.65103,0.10491,0.91215,0.86206,0.02697,9.53665,4.99147,1.64226,9998.2354
9.74626,0.10711,0.90951,0.85997,0.02727,9.57047,4.98815,1.63829,9997.30084
9.84149,0.10936,0.90688,0.85793,0.02757,9.60429,4.9906,1.63713,9997.2863
9.93672,0.11177,0.90426,0.85606,0.02789,9.63811,4.98418,1.64057,9997.64401
10.03195,0.11419,0.90164,0.85419,0.02821,9.67192,4.98614,1.63722,9998.27087
10.12717,0.11657,0.89935,0.85189,0.02851,9.70574,4.98437,1.63233,9996.29696
10.2224,0.11893,0.89716,0.84945,0.02879,9.73956,4.98157,1.63374,9997.6729
10.31763,0.1213,0.89497,0.84702,0.02908,9.77338,4.98173,1.63595,9998.17183
10.41286,0.1235,0.89305,0.84405,0.02934,9.80719,4.97818,1.63923,9997.70462
10.50808,0.1257,0.89112,0.84108,0.02961,9.84101,4.97976,1.62957,9998.51495
10.60331,0.12796,0.889,0.83835,0.0299,9.87483,4.98131,1.62984,9997.373
10.69854,0.13028,0.8867,0.83583,0.03021,9.90865,4.97625,1.62762,9998.77442
10.79377,0.13261,0.8844,0.83331,0.03052,9.94247,4.98084,1.63199,9997.27467
10.88899,0.13498,0.88185,0.8312,0.03088,9.97628,4.97599,1.62517,9996.43695
10.98422,0.13737,0.87922,0.82923,0.03126,10.0101,4.97505,1.62385,9998.71627
11.07945,0.13975,0.87663,0.82724,0.03163,10.04392,4.97517,1.61,9997.29817
11.17468,0.14208,0.87412,0.82519,0.03199,10.07774,4.97204,1.62215,9997.08436
11.26991,0.14441,0.87161,0.82313,0.03234,10.11156,4.97522,1.62515,9997.97662
11.36513,0.1467,0.86927,0.82075,0.03268,10.14537,4.97325,1.62182,9998.98865
